タイムスタンプ,メールアドレス,規約への同意,申請者の学籍番号,申請者の氏名,申請者の学生証写真,共同利用者の有無,共同利用者の学籍番号,共同利用者の氏名,階数希望選択（共同利用者なし）,階数希望選択（共同利用者あり）
2026-04-01 00:41:57,hiroshi06@example.org,利用規約に同意する,4654293,高橋 結衣,accept,共同利用者なし,,,2階,
2026-04-01 00:48:55,otananami@example.com,利用規約に同意する,4424101,山本 涼平,denied,共同利用者なし,,,4階,
2026-04-01 00:58:40,isasaki@example.net,利用規約に同意する,8283616,田中 加奈,accept,共同利用者あり,1556973,田中 七夏,,5階
2026-04-01 01:48:35,yui79@example.net,利用規約に同意する,8389687,林 康弘,accept,共同利用者あり,8313624,岡田 和也,,4階
2026-04-01 01:55:36,satoryohei@example.com,利用規約に同意する,4103442,山下 治,accept,共同利用者なし,,,5階,
2026-04-01 02:09:13,sayuriinoue@example.net,利用規約に同意する,4277993,中島 明美,accept,共同利用者なし,,,3階,
2026-04-01 02:24:12,miki88@example.net,利用規約に同意する,8311945,藤井 桃子,accept,共同利用者なし,,,2階,
2026-04-01 02:25:19,atsushinakamura@example.com,利用規約に同意する,8454819,佐藤 翼,accept,共同利用者あり,1589709,山本 あすか,,6階
2026-04-01 02:31:18,kmiura@example.net,利用規約に同意する,8535179,加藤 直子,accept,共同利用者なし,,,5階,
2026-04-01 02:55:16,asakamoto@example.net,利用規約に同意する,1511813,斎藤 晃,accept,共同利用者なし,,,2階,
2026-04-01 03:11:10,naokokato@example.org,利用規約に同意する,4525203,山本 智也,accept,共同利用者なし,,,2階,
2026-04-01 03:25:54,minorukobayashi@example.org,利用規約に同意する,2032044,松本 桃子,accept,共同利用者なし,,,2階,
2026-04-01 04:13:49,yuki60@example.net,利用規約に同意する,8410084,中島 亮介,denied,共同利用者なし,,,4階,
2026-04-01 04:43:47,sasakikenichi@example.org,利用規約に同意する,1592013,山本 千代,accept,共同利用者なし,,,4階,
2026-04-01 04:51:18,sakamotohideki@example.org,利用規約に同意する,4698059,中島 拓真,accept,共同利用者なし,,,4階,
2026-04-01 04:51:19,wkato@example.org,利用規約に同意する,4161824,林 健一,accept,共同利用者なし,,,3階,
2026-04-01 04:54:15,yyamamoto@example.com,利用規約に同意する,1530021,中島 和也,accept,共同利用者なし,,,2階,
2026-04-01 04:56:21,sasakiyumiko@example.com,利用規約に同意する,8499828,木村 充,denied,共同利用者なし,,,6階,
2026-04-01 04:58:16,shohei23@example.com,利用規約に同意する,8125006,斎藤 陽子,accept,共同利用者あり,4268303,藤原 幹,,5階
2026-04-01 05:19:12,naokokato@example.com,利用規約に同意する,4271058,池田 美加子,accept,共同利用者なし,,,3階,
2026-04-01 05:28:25,maedakyosuke@example.org,利用規約に同意する,4215814,鈴木 加奈,accept,共同利用者なし,,,2階,
2026-04-01 05:59:02,wishikawa@example.com,利用規約に同意する,1555057,鈴木 幹,accept,共同利用者なし,,,3階,
2026-04-01 06:03:47,asukanakamura@example.com,利用規約に同意する,4334283,加藤 修平,denied,共同利用者あり,1514408,小林 舞,,4階
2026-04-01 06:10:12,endonaoto@example.net,利用規約に同意する,1502490,斎藤 浩,accept,共同利用者なし,,,6階,
2026-04-01 06:15:17,suzukiakemi@example.com,利用規約に同意する,8798735,坂本 篤司,accept,共同利用者あり,4679395,佐藤 聡太郎,,5階
2026-04-01 06:21:01,yukiishikawa@example.com,利用規約に同意する,8310237,小林 晃,accept,共同利用者あり,4612502,林 七夏,,3階
2026-04-01 06:29:43,kana74@example.com,利用規約に同意する,1529329,佐藤 治,accept,共同利用者なし,,,2階,
2026-04-01 06:39:39,utanaka@example.net,利用規約に同意する,4111995,藤井 亮介,accept,共同利用者あり,8484972,木村 花子,,6階
2026-04-01 07:44:34,yoko33@example.com,利用規約に同意する,1532768,中川 幹,accept,共同利用者あり,8576955,森 美加子,,4階
2026-04-01 07:45:01,satomitanaka@example.com,利用規約に同意する,8307936,渡辺 春香,accept,共同利用者なし,,,5階,
2026-04-01 07:53:40,rikaito@example.com,利用規約に同意する,1501220,岡本 直樹,accept,共同利用者あり,2364752,鈴木 美加子,,3階
2026-04-01 07:55:43,kana74@example.com,利用規約に同意する,1529329,佐藤 治,accept,共同利用者なし,,,5階,
2026-04-01 08:13:21,kaori49@example.com,利用規約に同意する,4461727,遠藤 亮介,accept,共同利用者なし,,,5階,
2026-04-01 08:28:54,satoyuki@example.com,利用規約に同意する,4123392,高橋 陽一,accept,共同利用者なし,,,2階,
2026-04-01 08:53:15,esato@example.org,利用規約に同意する,4334003,鈴木 稔,accept,共同利用者なし,,,4階,
2026-04-01 09:29:48,suzukiryohei@example.org,利用規約に同意する,1538654,佐々木 直樹,accept,共同利用者あり,4681070,村上 充,,4階
2026-04-01 09:33:51,kyosuke94@example.com,利用規約に同意する,8672845,藤田 聡太郎,accept,共同利用者なし,,,2階,
2026-04-01 10:17:37,naokitanaka@example.org,利用規約に同意する,8107944,伊藤 陽子,accept,共同利用者なし,,,2階,
2026-04-01 10:31:27,taro54@example.org,利用規約に同意する,8649674,岡田 七夏,accept,共同利用者あり,4443874,吉田 直子,,3階
2026-04-01 10:50:49,satoshohei@example.org,利用規約に同意する,4480658,松田 学,accept,共同利用者なし,,,6階,
2026-04-01 10:50:54,yuki05@example.net,利用規約に同意する,1540539,岡本 亮介,accept,共同利用者なし,,,2階,
2026-04-01 10:51:10,murakamitaichi@example.net,利用規約に同意する,8476810,佐藤 春香,accept,共同利用者なし,,,6階,
2026-04-01 11:06:50,momoko73@example.org,利用規約に同意する,1593531,福田 涼平,accept,共同利用者なし,,,3階,
2026-04-01 11:17:55,mikimaeda@example.net,利用規約に同意する,8383746,林 洋介,accept,共同利用者あり,4454524,福田 幹,,2階
2026-04-01 11:30:11,otahiroshi@example.org,利用規約に同意する,8277624,藤田 涼平,accept,共同利用者なし,,,6階,
2026-04-01 11:35:51,fujiwaramiki@example.org,利用規約に同意する,2603248,渡辺 裕太,accept,共同利用者なし,,,6階,
2026-04-01 13:21:54,kanatakahashi@example.org,利用規約に同意する,4196467,高橋 香織,accept,共同利用者あり,4463654,山下 里佳,,3階
2026-04-01 13:48:08,nakajimakumiko@example.com,利用規約に同意する,4388652,佐藤 英樹,accept,共同利用者なし,,,3階,
2026-04-01 13:48:23,tomoyanakajima@example.com,利用規約に同意する,8615012,長谷川 太郎,accept,共同利用者あり,4519773,山崎 裕美子,,6階
2026-04-01 14:06:05,nakajimaminoru@example.org,利用規約に同意する,1539008,清水 里佳,accept,共同利用者あり,8401217,鈴木 涼平,,6階
2026-04-01 14:13:18,naoto01@example.org,利用規約に同意する,1502187,田中 亮介,accept,共同利用者なし,,,5階,
2026-04-01 14:43:19,rsasaki@example.com,利用規約に同意する,4293468,木村 裕美子,accept,共同利用者あり,4688930,山田 聡太郎,,4階
